period_id,holiday_name,is_holiday
20111231,元旦,0
20120101,元旦,1
20120102,元旦,1
20120103,元旦,1
20120121,春节,0
20120122,春节,1
20120123,春节,1
20120124,春节,1
20120125,春节,1
20120126,春节,1
20120127,春节,1
20120128,春节,1
20120129,春节,0
20120331,清明节,0
20120401,清明节,0
20120402,清明节,1
20120403,清明节,1
20120404,清明节,1
20120428,劳动节,0
20120429,劳动节,1
20120430,劳动节,1
20120501,劳动节,1
20120622,端午节,1
20120623,端午节,1
20120624,端午节,1
20120929,中秋节,0
20120930,中秋节,1
20121001,国庆节,1
20121002,国庆节,1
20121003,国庆节,1
20121004,国庆节,1
20121005,国庆节,1
20121006,国庆节,1
20121007,国庆节,1
20130101,元旦,1
20130102,元旦,1
20130103,元旦,1
20130105,元旦,0
20130106,元旦,0
20130209,春节,1
20130210,春节,1
20130211,春节,1
20130212,春节,1
20130213,春节,1
20130214,春节,1
20130215,春节,1
20130216,春节,0
20130217,春节,0
20130404,清明节,1
20130405,清明节,1
20130406,清明节,1
20130407,清明节,0
20130427,劳动节,0
20130428,劳动节,0
20130429,劳动节,1
20130430,劳动节,1
20130501,劳动节,1
20130608,端午节,0
20130609,端午节,0
20130610,端午节,1
20130611,端午节,1
20130612,端午节,1
20130919,中秋节,1
20130920,中秋节,1
20130921,中秋节,1
20130922,中秋节,0
20130929,国庆节,0
20131001,国庆节,1
20131002,国庆节,1
20131003,国庆节,1
20131004,国庆节,1
20131005,国庆节,1
20131006,国庆节,1
20131007,国庆节,1
20131012,国庆节,0
20140101,元旦,1
20140126,春节,0
20140131,春节,1
20140201,春节,1
20140202,春节,1
20140203,春节,1
20140204,春节,1
20140205,春节,1
20140206,春节,1
20140208,春节,0
20140405,清明节,1
20140406,清明节,1
20140407,清明节,1
20140501,劳动节,1
20140502,劳动节,1
20140503,劳动节,1
20140504,劳动节,0
20140531,端午节,1
20140601,端午节,1
20140602,端午节,1
20140906,中秋节,1
20140907,中秋节,1
20140908,中秋节,1
20140928,国庆节,0
20141001,国庆节,1
20141002,国庆节,1
20141003,国庆节,1
20141004,国庆节,1
20141005,国庆节,1
20141006,国庆节,1
20141007,国庆节,1
20141011,国庆节,0
20150101,元旦,1
20150102,元旦,1
20150103,元旦,1
20150104,元旦,0
20150215,春节,0
20150218,春节,1
20150219,春节,1
20150220,春节,1
20150221,春节,1
20150222,春节,1
20150223,春节,1
20150224,春节,1
20150228,春节,0
20150404,清明节,1
20150405,清明节,1
20150406,清明节,1
20150501,劳动节,1
20150502,劳动节,1
20150503,劳动节,1
20150620,端午节,1
20150621,端午节,1
20150622,端午节,1
20150926,中秋节,1
20150927,中秋节,1
20151001,国庆节,1
20151002,国庆节,1
20151003,国庆节,1
20151004,国庆节,1
20151005,国庆节,1
20151006,国庆节,1
20151007,国庆节,1
20151010,国庆节,0
20160101,元旦,1
20160102,元旦,1
20160103,元旦,1
20160206,春节,0
20160207,春节,1
20160208,春节,1
20160209,春节,1
20160210,春节,1
20160211,春节,1
20160212,春节,1
20160213,春节,1
20160214,春节,0
20160402,清明节,1
20160403,清明节,1
20160404,清明节,1
20160430,劳动节,1
20160501,劳动节,1
20160502,劳动节,1
20160609,端午节,1
20160610,端午节,1
20160611,端午节,1
20160612,端午节,0
20160915,中秋节,1
20160916,中秋节,1
20160917,中秋节,1
20161001,国庆节,1
20161002,国庆节,1
20161003,国庆节,1
20161004,国庆节,1
20161005,国庆节,1
20161006,国庆节,1
20161007,国庆节,1
20161008,国庆节,0
20161009,国庆节,0
20161231,元旦,1
20170101,元旦,1
20170102,元旦,1
20170122,春节,0
20170127,春节,1
20170128,春节,1
20170129,春节,1
20170130,春节,1
20170131,春节,1
20170201,春节,1
20170202,春节,1
20170204,春节,0
20170401,清明节,0
20170402,清明节,1
20170403,清明节,1
20170404,清明节,1
20170429,劳动节,1
20170430,劳动节,1
20170501,劳动节,1
20170527,端午节,0
20170528,端午节,1
20170529,端午节,1
20170530,端午节,1
20170930,国庆节,0
20170930,中秋节,0
20171001,国庆节,1
20171001,中秋节,1
20171002,中秋节,1
20171002,国庆节,1
20171003,中秋节,1
20171003,国庆节,1
20171004,中秋节,1
20171004,国庆节,1
20171005,国庆节,1
20171005,中秋节,1
20171006,中秋节,1
20171006,国庆节,1
20171007,国庆节,1
20171007,中秋节,1
20171008,国庆节,1
20171008,中秋节,1
20171230,元旦,1
20171231,元旦,1
20180101,元旦,1
20180211,春节,0
20180215,春节,1
20180216,春节,1
20180217,春节,1
20180218,春节,1
20180219,春节,1
20180220,春节,1
20180221,春节,1
20180224,春节,0
20180405,清明节,1
20180406,清明节,1
20180407,清明节,1
20180408,清明节,0
20180428,劳动节,0
20180429,劳动节,1
20180430,劳动节,1
20180501,劳动节,1
20180616,端午节,1
20180617,端午节,1
20180618,端午节,1
20180922,中秋节,1
20180923,中秋节,1
20180924,中秋节,1
20180929,国庆节,0
20180930,国庆节,0
20181001,国庆节,1
20181002,国庆节,1
20181003,国庆节,1
20181004,国庆节,1
20181005,国庆节,1
20181006,国庆节,1
20181007,国庆节,1
20181229,元旦,0
20181230,元旦,1
20181231,元旦,1
20190101,元旦,1
20190202,春节,0
20190203,春节,0
20190204,春节,1
20190205,春节,1
20190206,春节,1
20190207,春节,1
20190208,春节,1
20190209,春节,1
20190210,春节,1
20190405,清明节,1
20190406,清明节,1
20190407,清明节,1
20190428,劳动节,0
20190501,劳动节,1
20190502,劳动节,1
20190503,劳动节,1
20190504,劳动节,1
20190505,劳动节,0
20190607,端午节,1
20190608,端午节,1
20190609,端午节,1
20190913,中秋节,1
20190914,中秋节,1
20190915,中秋节,1
20190929,国庆节,0
20191001,国庆节,1
20191002,国庆节,1
20191003,国庆节,1
20191004,国庆节,1
20191005,国庆节,1
20191006,国庆节,1
20191007,国庆节,1
20191012,国庆节,0
20200101,元旦,1
20200119,春节,0
20200124,春节,1
20200125,春节,1
20200126,春节,1
20200127,春节,1
20200128,春节,1
20200129,春节,1
20200130,春节,1
20200201,春节,0
20200404,清明节,1
20200405,清明节,1
20200406,清明节,1
20200426,劳动节,0
20200501,劳动节,1
20200502,劳动节,1
20200503,劳动节,1
20200504,劳动节,1
20200505,劳动节,1
20200509,劳动节,0
20200625,端午节,1
20200626,端午节,1
20200627,端午节,1
20200628,端午节,0
20200927,中秋/国庆假期,0
20201001,中秋/国庆假期,1
20201002,中秋/国庆假期,1
20201003,中秋/国庆假期,1
20201004,中秋/国庆假期,1
20201005,中秋/国庆假期,1
20201006,中秋/国庆假期,1
20201007,中秋/国庆假期,1
20201008,中秋/国庆假期,1
20201010,中秋/国庆假期,0
20210101,元旦,1
20210102,元旦,1
20210103,元旦,1
20210207,春节,0
20210211,春节,1
20210212,春节,1
20210213,春节,1
20210214,春节,1
20210215,春节,1
20210216,春节,1
20210217,春节,1
20210220,春节,0
20210403,清明节,1
20210404,清明节,1
20210405,清明节,1
20210425,劳动节,0
20210501,劳动节,1
20210502,劳动节,1
20210503,劳动节,1
20210504,劳动节,1
20210505,劳动节,1
20210508,劳动节,0
20210612,端午节,1
20210613,端午节,1
20210614,端午节,1
20210918,中秋节,0
20210919,中秋节,1
20210920,中秋节,1
20210921,中秋节,1
20210926,国庆节,0
20211001,国庆节,1
20211002,国庆节,1
20211003,国庆节,1
20211004,国庆节,1
20211005,国庆节,1
20211006,国庆节,1
20211007,国庆节,1
20211009,国庆节,0
20220101,元旦,1
20220102,元旦,1
20220103,元旦,1
20220129,春节,0
20220130,春节,0
20220131,春节,1
20220201,春节,1
20220202,春节,1
20220203,春节,1
20220204,春节,1
20220205,春节,1
20220206,春节,1
20220402,清明节,0
20220403,清明节,1
20220404,清明节,1
20220405,清明节,1
20220424,劳动节,0
20220430,劳动节,1
20220501,劳动节,1
20220502,劳动节,1
20220503,劳动节,1
20220504,劳动节,1
20220507,劳动节,0
20220603,端午节,1
20220604,端午节,1
20220605,端午节,1
20220910,中秋节,1
20220911,中秋节,1
20220912,中秋节,1
20221001,国庆节,1
20221002,国庆节,1
20221003,国庆节,1
20221004,国庆节,1
20221005,国庆节,1
20221006,国庆节,1
20221007,国庆节,1
20221008,国庆节,0
20221009,国庆节,0
20221231,元旦,1
20230101,元旦,1
20230102,元旦,1
20230121,春节,1
20230122,春节,1
20230123,春节,1
20230124,春节,1
20230125,春节,1
20230126,春节,1
20230127,春节,1
20230128,春节,0
20230129,春节,0
20230405,清明节,1
20230423,劳动节,0
20230429,劳动节,1
20230430,劳动节,1
20230501,劳动节,1
20230502,劳动节,1
20230503,劳动节,1
20230506,劳动节,0
20230622,端午节,1
20230623,端午节,1
20230624,端午节,1
20230625,端午节,0
20230929,中秋/国庆节,1
20230930,中秋/国庆节,1
20231001,中秋/国庆节,1
20231002,中秋/国庆节,1
20231003,中秋/国庆节,1
20231004,中秋/国庆节,1
20231005,中秋/国庆节,1
20231006,中秋/国庆节,1
20231007,中秋/国庆节,0
20231008,中秋/国庆节,0
20231230,元旦,1
20231231,元旦,1
20240101,元旦,1
20240204,春节,0
20240210,春节,1
20240211,春节,1
20240212,春节,1
20240213,春节,1
20240214,春节,1
20240215,春节,1
20240216,春节,1
20240217,春节,1
20240218,春节,0
20240404,清明节,1
20240405,清明节,1
20240406,清明节,1
20240407,清明节,0
20240428,劳动节,0
20240501,劳动节,1
20240502,劳动节,1
20240503,劳动节,1
20240504,劳动节,1
20240505,劳动节,1
20240511,劳动节,0
20240608,端午节,1
20240609,端午节,1
20240610,端午节,1
20240914,中秋节,0
20240915,中秋节,1
20240916,中秋节,1
20240917,中秋节,1
20240929,国庆节,0
20241001,国庆节,1
20241002,国庆节,1
20241003,国庆节,1
20241004,国庆节,1
20241005,国庆节,1
20241006,国庆节,1
20241007,国庆节,1
20241012,国庆节,0
